PlaceType
shoping
mall
family
tower
mistanno 
mosque
mosjid
mondir
cng
petrol
pamp
commercial
Residential
Bank
Office
landmark
transportation
tndustry
others
hotel
fuel
religious Place
food
education
healthcare
recreation
construction
government
utility
admin
agricultural
motor
shop 
