A,এ
B,বি
C,সি
D,ডি
E,ই
F,এফ
G,জি
H,এইচ
I,আই
J,জে
K,কে
L,এল
M,এম
N,এন
O,ও
P,পি
Q,কিউ
R,আর
S,এস
T,টি
U,ইউ
V,ভি
W,ডব্লিউ
W,ডাব্লিউ
X,এক্স
Y,ওয়াই
Z,জেড
ka,ক
kha,খ
ga,গ
gha,ঘ
uma,ঙ
cha,চ
cha,ছ
ja,জ
jha,ঝ
nio,ঞ
ta,ট
tha,ঠ
da,ড
dha,ঢ
na,ণ
ta,ত
tha,থ
da,দ
dha,ধ
na,ন
pa,প
fa,ফ
ba,ব
va,ভ
ma,ম
ja,য  
ra,র 
ra,ঢ় 
la,ল
sha,শ 
sa,ষ 
sa,স 
ha,হ 
ra,ড়
ya,য় 
