area,sub_area
Darussalam,Gabtoli
Mirpur,"Box Nagar"
Mohakhali,Wirelessgate
Mirpur,Borobagh
Mohakhali,"Wireless Gate"
Mirpur,Borobazar
Mirpur,"Section 6/KA"
Mirpur,Borobag
Mirpur,Monipur
Mirpur,"West monipur"
Mirpur,"Barek mollar mor"
Mirpur,Pirerbag
Mirpur,Pirerbagh
Darussalam,Horirampur
Darussalam,Harirampur
Adabor,"Pisciculture Housing"
Mirpur,Purobi
Mirpur,Pallabi
Mirpur,"Block 01"
Mirpur,"Block 1"
Pallabi,"Arifabad Housing"
Mirpur,"Senpara porbota"
Mirpur,"North Kazipara"
Mirpur,Priyangon
Mirpur,"Priyangon 2nd Colony"
Mirpur,"Priyangon R/A"
Mirpur,Sewrapara
Mirpur,Kalshi
Mirpur,"Section 11.5"
"West Kafrul",Taltola
Mirpur,"West Kafrul (Taltola)"
Mirpur,Taltala
Basundhara,Solmaid
Mirpur,"Ahmed Nagar"
Mirpur,"House 9/1"
Mirpur,"House 5/1 Sha Ali Bagh"
Mirpur,"House 5/1"
Mirpur,"Shah Ali Bagh"
Mirpur,Kachukhet
"Shanir Akhra",Kadamtali
Uttara,"Sector 1"
Mirpur,"North Ibrahimpur"
Mirpur,"1 No Building"
Mirpur,Palashnagar
Mirpur,"Polash Nagar"
Mirpur,"Palash Nagarr"
Mirpur,"Shangbadik R/A"
Mirpur,"Taltola Mor"
Mirpur,"Moddho Paikpara"
Mirpur,"Moddo Paikpara"
Mirpur,"Moddho Paikapara"
Mirpur,"South Paikapara"
Mirpur,"South Paikpara"
Mirpur,"Middle Paikpara"
Nikunja,Nikunja-02
Shyamoli,"Ring Road"
Shyamoli,Adabor
Mirpur,Ahmednagar
Mirpur,"East Ahmednagar"
Nikunja,"Nikunja 1"
Baridhara,"Baridhara J Block"
Mirpur,"North Pirerbagh"
Mirpur,"Ahmed Nagar Paikpara"
Mirpur,"South Pirerbagh"
Mirpur,"Moddho PirerBagh"
Mirpur,"West Pirerbagh"
Kafrul,"South Ibrahimpur"
Mirpur,PireBagh
Mirpur,"East Pirerbagh"
Kafrul,Ibrahimpur
Kafrul,"Rajanigandha Super Market"
Kafrul,"North-East Kafrul"
Kafrul,"Rajanigandha Super Market's West side"
Kafrul,"South-East Ibrahimpur"
Kafrul,"North Dhaka Cantonment"
Kafrul,"Ibrahimpur Pulpar"
Kafrul,"North Ibrahimpur Pulpar"
Bashabo,"58 Kadamtala"
Kafrul,"Dhaka Canotonment"
Kafrul,"Bhai-Bhai Super Market"
Mirpur,"South Agargaon"
Mirpur,"West Agargaon"
Mirpur,"North Shyamoli"
Shyamoli,"North Shaymoli"
Mirpur,"House 430"
Shyamoli,Khalpar
Mirpur,Kallyanpur
Mirpur,"House 400"
Shyamoli,"Road 2"
Mirpur,"Block C South Paikpara"
Banani,"Block : K"
Mohammadpur,"Mohammadpur Housing Limited"
Shahjahanpur,"Malibagh Bazar Road"
Hazaribagh,"19 Old Dhanmondi"
Adabor,"Baitul Aman Housing"
Mohammadpur,"Nobodoy Housing"
Mohammadpur,"Housing Limited"
Mirpur,"Senapara Parbata"
Mirpur,"House Section 2"
Mirpur,"Popular Housing 2"
Mirpur,"Janata Housing Slum Area"
Mohammadpur,Housing
Mohammadpur,"Housing Ltd"
Mirpur,"Ahmad Nagar"
Mirpur,"West Ahmednagar"
Mirpur,"Section 2 Monipur"
Mirpur,"Ahmad Nagar Paikpara"
Panthapath,"House 1/C"
Panthapath,"Bashundhara city"
Panthapath,Kathalbagan
Panthapath,"Kaoran Bazar"
Panthapath,"Free School Street"
"Green Road",52
"Green Road","Subastu edefice"
"Green Road","Subastu Tower"
"Green Road","House 53"
"Green Road","Green Tower"
"Green Road","Morshed Mansion"
Mirpur,"Middle Monipur"
Banglamotor,"Sector 108"
Ramna,"House 102-104"
Moghbazar,"Boro Moghbazar"
Gulshan,Shajadpur
Mirpur,"Section 19"
Mirpur,"Section 10/1"
Mirpur,"East Shah Ali Bagh"
Vatara,Khilbarirtek
Vatara,Gulshan
Vatara,"Section 38"
Vatara,"Section 08"
Kolabagan,"Lake Circus"
Ramna,Moghbazar
Moghbazar,"House 28"
Ramna,Ramna
Mirpur,"South Monipur"
Mirpur,"West Kazipara"
Tejgaon,"House 270"
Kallyanpur,"Kallyanpur Sharak"
Khilgaon,Shantipur
Uttara,"Alaul Avenue"
Siddheshwari,"Baily Road"
Mirpur,"South Monipur West Shewrapara"
Dhanmondi,"Sabanoom Tower"
Dhanmondi,"Gazi Tower"
Mirpur,"Poschim Shewrapara"
Malibagh,"Malibagh Road"
Eskaton,Banglamotor
Mohammadpur,"Chan Mia Housing"
Mirpur,Senpara
Khilgaon,"South Goran."
Mirpur,"East Monipur West Kazipara"
Malibagh,"Malibagh Bazar Railgate"
Malibagh,"Maibagh Railgate"
Malibagh,"Malibagh Pabna Colony"
Kolabagan,"Kalabagan bus stand"
Malibagh,Gulbagh
Vatara,"Block A/3"
Vatara,"Block B/3"
Vatara,"Khilbarirtek Main East Para"
Vatara,"Block A/4"
Vatara,"Khilbarirtek East Para"
Vatara,"Block 5"
Vatara,"Block B/5"
Moghbazar,Siddheswari
Shyamoli,"House 49/K"
Shyamoli,"House 25/19"
Moghbazar,Siddheshwari
"New Eskaton","House Dilu Road"
Shahbagh,"33 No House Tutor Building"
Khilgaon,"North goran"
Vatara,"Block B/4"
Vatara,"Block D/5"
Vatara,"East Nurerchala"
Vatara,"East Khilbarirtek"
Vatara,Nurerchala
Vatara,"East Sayednagar"
Vatara,Sayednagar
Moghbazar,"Dilu Road"
Vatara,"East Vatara"
Vatara,"Madani Avenue"
Vatara,Syednagare
Vatara,Syednagon
Vatara,"East Latif Khandakar Sharak"
Vatara,Vatara
Moghbazar,"Shahid Taj Uddin Ahmed Sharani"
Moghbazar,"House 381"
Khilgaon,Tilpapara
Vatara,"West Nurerchala"
Motijheel,"South Kamlapur"
Vatara,NurerChalla
Kolabagan,"North Dhanmondi"
Motijheel,"North Kamlapur"
Mirpur,"House 983"
Vatara,"West Nurarchala"
Mirpur,"South Monipur North Pirerbagh"
Mohammadpur,Tikkapara
Kafrul,"Mohakhali New DOHS"
Motijheel,"Kamlapur Box Culvert"
Dhanmondi,"West Dhanmondi"
Malibagh,Mouchak
Vatara,Kholbarirtek
Mohammadpur,"Mohammadia Housing"
"New Eskaton","New Eskaton Link Road 1"
Motijheel,"House 147/1"
Motijheel,"South Kamlapur Road"
Pallabi,"Block E-13"
Pallabi,"Extension Pallabi"
Mohammadpur,"M9Hammadia Housing Limited"
Mirpur,"East Ahmed Nagar"
Mirpur,"Ahmed Nagar North Pirerbagh"
Mirpur,"kathal Tola"
Mirpur,"Purbo Ahmed Nagar"
Mirpur,"Monipur Kathal Tola"
Pallabi,"Block 2F"
Pallabi,"Block 2H"
Kamalapur,"South Kamalapur"
Galachipa,"Joinpuri Khanka"
Badda,"Badda High School Road"
Badda,"Lake View Society"
Gulshan,"East Shahjadpur"
Mohammadpur,"Chand Mia Housing"
Kafrul,"West Kafrul"
Mohammadpur,"Block KHA"
Shantinagar,"Bir Uttam Samsul Alam"
Mugda,"South Mugda"
Mugda,"Anandadhara South Mugda"
Mirpur,"Senpara Parbatta"
Mugda,"Kazi Jafor School Road"
Mugda,"Adarsha Goli"
"Merul Badda","Gulshan Badda Link Road"
Mohammadpur,"Housing Society"
"New Eskaton","Ghaus Nagar"
"New Eskaton","Gaus Nagar"
Mirpur,"Moddo Pirerbagh"
Gopibagh,"Lane 1"
Mohakhali,Amtoli
Motijheel,"Lane 2"
Gopibagh,"RK Mission Road"
Gopibagh,"lane 3"
"Merul Badda",Gudaraghat
Mirpur,"Purbo Monipur"
"Merul Badda","Block 21"
"North Badda",Badda
Gopibagh,"Abhay Das Lane"
Mirpur,"West Shewrapara South Monipur"
Mirpur,"West Shewrapara North Pirerbagh"
Banglamotor,"New Eskaton"
Mirpur,"Molla Para"
Shantinagar,"House 12"
Shantinagar,Chamelibag
"Merul Badda","Pragati Sharani"
Badda,"Middliw Badda"
Mohammadpur,"Shekher Tek"
Mohammadpur,Navodoy
"Banani DOHS",N/A
"Banani DOHS","House 80"
Tejgaon,Rajabazar
Mohakhali,"Section 12/13"
Mohakhali,"House E-15"
Mohakhali,"House E-12"
Mohakhali,"Mohakhali Bazar"
Mohakhali,"House B-21"
Mohakhali,"House B-20"
Tejgaon,"East Rajabazar"
Adabor,"Noboday Housing"
Shantibagh,Shantibagh
Vatara,"Notun Bazar"
Gopibagh,"Bindu'r Goli"
Manikdi,Namapara
Mirpur,"South West Shewrapara"
Mirpur,"Shouth West Shewrapara"
Badda,"South Badda"
Malibagh,"House 222/1"
Shantibagh,"Gulbagh Road"
Tejgaon,Panthapath
Tejgaon,"West Rajabazar"
Mirpur,"House 529/A"
Dhanmondi,"Block 9/A"
Dhanmondi,"House 736"
Kafrul,"Ibrahimpur (Pullpar)"
Gopibagh,"House 18/1/KA"
Dhanmondi,Sangkar
Dhanmondi,"Sangkar Bus Stop"
Mirpur,"House 470/14"
Mohammadpur,Katashur
Mohammadpur,Katasur
Dhanmondi,Sukeabad
Bangshal,"Road 10/6 Bashabari Lane"
Bangshal,Nayabazar
Kafrul,"Moddho Ibrahimpur"
Tikatuli,"Shahid Murad Sharak"
Dhanmondi,"House 67/B"
Tikatuli,"Shahid Nuzrul Islam Sharak"
Dhanmondi,"House 65"
Dhanmondi,"House 61"
Dhanmondi,"House 76"
Tikatuli,"Hatkhola Road"
Dhanmondi,"House 55"
Dhanmondi,"Z R Plaza"
"New Market",Nilkhet
Kafrul,"West Ibrahimpur"
"New Market",Kataban
Mohammadpur,"Latif Real Estate"
Mohammadpur,"Katashur Nama Bazar"
Mohammadpur,"Katasur Namar Bazer"
Mohammadpur,"Nama Bazar"
Mohammadpur,"Katasur Nama Bazar"
fokirapool,"Inner Circle Road"
Mohakhali,"Mohakhali Wireless"
fokirapool,"Block 3"
fokirapool,"Fakirapool Bazar"
Kafrul,"East Kazipara"
Kafrul,"House 744/2-A"
"Dhanmondi ","Dhanmondi 15"
"Dhanmondi ",Rayerbazar
Moghbazar,"Mazar Goli"
Vatara,"Natun Bazar"
Mirpur,"South Kazipara"
Kafrul,"Purbo Shewrapara"
Mirpur,"Mirpur Dohs Sarker Bari"
"Mirpur Dohs","Sarkar Bari"
Vatara,"Sayed Nagar"
Mugda,"Atish Deepankar Sharak"
Mohammadpur,"Chad Uddyan"
Mohammadpur,"Chad Uddan"
Mohammadpur,"Chad Uddyan Housing"
Mohammadpur,"Chad Uddan Housing"
Mugda,"Kamlapur Manda Road"
Mugda,"Lane 7"
Vatara,"South Nayanagar"
Dhanmondi,Shukrabad
Dhanmondi,Sobhanbagh
Mohammadpur,"Noboudoy Housing"
Vatara,"Moddho Nayanagar"
Mugda,"Atish Deepankar Road"
Mugda,"Sardar Goli"
Mugda,"sarder Goli"
Shahjahanpur,"North Shahjahanpur"
Ramna,"Moghbazar Wireless"
Mohammadpur,"Kaderabad Housing"
Mohammadpur,"Satmasjid Housing"
Mohammadpur,"Saath Masjid Housing"
Mirpur,"South Paikpara (Sonali Nagar)"
Mirpur,"Section B"
"Sher E Bangla Nagar",Suktabad
Dhanmondi,Panthopath
Vatara,Nayanagar
Vatara,"West Vatara"
Vatara,"East Nayanagar"
Tejgaon,Monipuripara
"Mirpur Dohs",17)
Mugda,"Commissioner Goli"
Motijheel,Fakirapool
Mugda,"Zannat Bagh"
Mugda,Jannatbagh
"Dhaka Cantonment","Matikata Bazar"
Manikdi,"South Manikdi"
Mirpur,"Dakkhina Abason"
Mugda,"WASA Road"
Mirpur,"Block C Lake View Road"
Mugda,"WAPDA Goli"
Shahjahanpur,Momenbagh
Mugda,"Bank Colony"
Mohammadpur,"Nobinagar Housing"
"Dhaka Cantonment","West Matikata"
"Dhaka Cantonment","West Matikata (Dewan Para)"
"Dhaka Cantonment","(Dewan Para)"
"Dhaka Cantonment",Vasantek
"Dhaka Cantonment","West Vasantek (Tonartek)"
Rajarbagh,Shahidbagh
Shahjahanpur,"South Shajahanpur"
Moghbazar,"Outer Circular Road"
Vatara,"Solmaid Kachabazar"
"Dhaka Cantonment",Dewanpara
"Dhaka Cantonment","North Vasantek"
"Dhaka Cantonment","North Vasantek (Baganbari)"
"New Market","Laboratory Road"
Mohammadpur,"Chandrima Uddyan"
Mohammadpur,"Chandrima Housing"
Mirpur,"Shah Ali"
Mohammadpur,"Dhaka Uddyan"
Vatara,Noyanagar
Vatara,"North Nayanagar"
Mohammadpur,"Johuri Moholla"
Vatara,"North Noyanagar"
Vatara,"Uttar Naya Nagar"
"Dhaka Cantonment","East Vasantek"
"Dhaka Cantonment","North Dhamalkot"
Vatara,Solmiad
Manikdi,Manikdi
Manikdi,"West Manikdi"
Manikdi,"North Manikdi"
Manikdi,Gonirtek
Manikdi,Nombortek
Manikdi,"Moddho Manikdi"
Vatara,Jagannathpur
Vatara,"Jagannath Pur"
Vatara,Nadda
Manikdi,"Manikdi Bazar"
Mohammadpur,"House 19/B/4/C"
Agargaon,"Sher E Bangla Nagar"
Manikdi,"East Manikdi"
Manikdi,"Purbo Manikdi"
