address,,,,,,,,,,link,id,location/located_in
"Plot - 16, Gareeb - E- Newaz Avenue, Level - 5, Sector - 11, Uttara",,,,,,,,,,https://www.facebook.com/pages/Cafe-Euphoria-Uttara/841287422877132,841287426210465,
"Main Branch: Section-6, Block-A, Avenue-5, House-41

Rupnagar Branch: House-24, Road-04, Rupnagar-R/A, Section-2, Mirpur, Dhaka",,,,,,,,,,https://www.facebook.com/dastarkhana/,153202398183673,
,,,,,,,,,,https://www.facebook.com/pages/Boomers-Cafe-New-Baily-Road/1387010558074452,1387010568074451,
"Road 21, House 55/B, Block-B, Banani",,,,,,,,,,https://www.facebook.com/barcodecafebanani/,1017607394994484,
"House-19, Road-12(old-31)Dhanmondi R/A .Dhaka (near Metro Shopping Mall)",,,,,,,,,,https://www.facebook.com/pinewoodcafebd/,592736097558955,
"House-24, Road-09, Block-Kha, Shekhertek PCCulture Housing Society,Mohammadpur",,,,,,,,,,https://www.facebook.com/filmycafebd/,1659660704251622,
"Shyamoli Square, Mirpur Rd, Dhaka 1207, Bangladesh",,,,,,,,,,https://www.facebook.com/cafe1stlove/,794756847299387,
"House 25, Block H, Point 11, Road 11, Banani Model Town",,,,,,,,,,https://www.facebook.com/milano.dhaka/,431279570997755,
"373/B, 3rd floor, Khilgaon,Taltola.",,,,,,,,,,https://www.facebook.com/colorcaferestaurant/,461327181023351,
"369/1-A, Tilpa Para, Khilgaon",,,,,,,,,,https://www.facebook.com/cafekhilgaon/,316835405341810,
"Ahmed and Kazi Tower, Level 2, House:35 Dhanmondi 2 (Next to Riffles/Shimanto Square)",,,,,,,,,,https://www.facebook.com/Takeout.2.O/,644097402414900,
"House # 14, Road # 12-B, Sector # 10, Uttara",,,,,,,,,,https://www.facebook.com/cafezbd/,454578534750068,
"222,Bir Uttam Mir Shawkat Road( Gulshan Tejgaon Link Road)",,,,,,,,,,https://www.facebook.com/cafedepartex/,1563031347267748,
"House #133, Road #9/A(New), Captain Road, Shankar, Dhanmondi",,,,,,,,,,https://www.facebook.com/OzzTheCafe/,698123820348288,
"Bokul-Tola Complex 6 Folder Street, Wari,",,,,,,,,,,https://www.facebook.com/foodlandcafe/,289670371223847,
"H-35 (2nd Floor)Dhanmondi 2, Dhaka",,,,,,,,,,https://www.facebook.com/pages/20-Cafe-and-Restaurant/1663418867058839,1663418877058838,
"19 a/b 2nd colony, Mazar Road, Mirpur-1",,,,,,,,,,https://www.facebook.com/cafechapter14/,719466208226870,
"House 41, Road No. 3A, Dhanmondi",,,,,,,,,,https://www.facebook.com/TriangleCafeBD/,1524343304490488,
"House 17, Road  02, Dhanmondi",,,,,,,,,,https://www.facebook.com/YELLOWcafe.Official/,1814201212159254,
156 Elephant Road (2nd floor) Hatirpool more,,,,,,,,,,https://www.facebook.com/cafe5elephant/,1129781250396091,
"Brothers Point, House 1, Road 3, Block G, Banasree, Rampura",,,,,,,,,,https://www.facebook.com/pages/Cafe-Family/192004334786224,192004341452890,
"60 Satmosjid Road, "" Keari Crescent "" (2nd Floor), Road-2/A, Zigatola Bus Stand ,Dhanmondi",,,,,,,,,,https://www.facebook.com/TrumpCafeBD/,1864624503778598,
,,,,,,,,,,https://www.facebook.com/cafe.open.lounge/,1529834420597907,
Dhaka Cantonment,,,,,,,,,,https://www.facebook.com/cafe.boatclub/,576357655830631,
,,,,,,,,,,https://www.facebook.com/Cafe-46-2148964115395767/,2148964282062417,2148964282062417
"Section-6, Main Road-1, Block: ka, Plot no: 23, Mirpur-10(Opposite of the Fire Service south gate)",,,,,,,,,,https://www.facebook.com/CafeinTaste/,199955027189216,
"Thana Road, Savar.",,,,,,,,,,https://www.facebook.com/pages/Cafe-Metro-Thana-Road-Savar/192983177429858,192983194096523,
"50, Lalbagh Road, Infront of Lalbagh Kella Moshjid, North Side of Kella Parking,Lalbagh",,,,,,,,,,https://www.facebook.com/firestone.bd/,1245407348913135,
"Jononi complex,  Lift-9 Rooftop restaurant, Dar-Us-Salam Road,  Mirpur-1",,,,,,,,,,https://www.facebook.com/cafegossip/,1718443041754525,
,,,,,,,,,,https://www.facebook.com/grzcafe/,1710626499154282,
"ka-11/2A, Haveily Center, 2nd floor, Bashundhora r/a road. · Dhaka, Bangladesh",,,,,,,,,,https://www.facebook.com/downtowncafe2/,1522072184723925,
"Keari crescent tower (level-03), Shatmashjid road, Dhanmondi, Dhaka.",,,,,,,,,,https://www.facebook.com/cminorbd/,1796642750617821,
"ZR Plaza, Level 10, Satmasjid Road, Dhanmondi 19 , (9/A OLD)",,,,,,,,,,https://www.facebook.com/thedarkcafe/,1489020341425260,
"394/B, Malibagh Chowdhury Para, (1st Floor)  Oposite Pallima Sangshod, Shahid Baki Road Dhaka-1219",,,,,,,,,,https://www.facebook.com/Cafe-Amantron-495825510859903/,495825547526566,
"48/10 R. K.Mission Road,Gopibag",,,,,,,,,,https://www.facebook.com/cafetiffinbox/,1670903446461669,
shahjadpur,,,,,,,,,,https://www.facebook.com/Cafelavender/,1653128048351006,
"11/12, Salimullahroad, Mohammadpur",,,,,,,,,,https://www.facebook.com/cafemohammadpur/,1619257748352780,
"House#20, Road#01, Nikunja-2",,,,,,,,,,https://www.facebook.com/cafehubbd/,261275964287126,
"51, Satmasjid Road (above Standard Chartered Bank - Dhanmondi Branch), 1205 Dhaka, Bangladesh",,,,,,,,,,https://www.facebook.com/nostalgicbd/,837250979655471,
"228/1, Monipur, Barek Mollah Mor (beside 60 feet road), Mirpur-2, Dhaka-1216.",,,,,,,,,,https://www.facebook.com/Cafe.ZONE60/,1648515252072654,
"Point 11, House-25 (1st floor), Road#11, Block#H, Banani",,,,,,,,,,https://www.facebook.com/cafemilanodhaka/,442757479618473,
"2/11,South Begunbari,Hatirjheel,Tejgaon Industrial Area,Dhaka",,,,,,,,,,https://www.facebook.com/cafeseven17teen/,174949376417629,
"Green Orlando, 42/4, Progati Sarani",,,,,,,,,,https://www.facebook.com/pages/Boomers-Caf%C3%A9-BaridharaNaddaBashundhara-Outlet/1998866347080171,1998866353746837,
Shyamoli Square Shopping Mall,,,,,,,,,,https://www.facebook.com/cafeaddatastd/,178685969273834,
"Plot-01, Road-203G, Purbachal, Sector-1,Near Balu Bridge, 300 Feet Highway Basundhara R/A, (Beside Purbachal Bazar or Nila Market)",,,,,,,,,,https://www.facebook.com/Rickshawcafebd/,1938872049728926,
"581/C, Shahid Baki road, khilgaon, malibagh chowdhuri para",,,,,,,,,,https://www.facebook.com/Cafekathmandudhaka/,1571594859804780,
"566/A, Block-C, Khilgaon Taltola, Shahid Baki Road",,,,,,,,,,https://www.facebook.com/tuneandbite/,1521991844725583,
Mohakhali Rail gate,,,,,,,,,,https://www.facebook.com/greenhelmetbd/,1106579332808189,
"Wasa Road, South Mugdapara, in south of Baser Tower Dhaka",,,,,,,,,,https://www.facebook.com/Cafe-Orchid-1462341073837762/,1462341120504424,
"House# 54,Block#A, Avenue#5, Section# 06,Mirpur",,,,,,,,,,https://www.facebook.com/cafegreenbd/,436331890158936,
"27/B Dhakeshwary Road, Lalbag",,,,,,,,,,https://www.facebook.com/pages/D-Cafe/1590745224480168,1590745247813499,
Khilgaon,,,,,,,,,,https://www.facebook.com/cheezepanic/,984916734960246,
175 Gulshan Avenue,,,,,,,,,,https://www.facebook.com/butlersbd/,1381368931893128,
"Rangs KB Square, 736, Satmasjid Road,",,,,,,,,,,https://www.facebook.com/TREAT.CAFE.Dhanmondi/,642798232824934,
"Rangs Fortune Square, 3rd Floor (B3), Plot-32, Road-02, Dhanmondi R/A",,,,,,,,,,https://www.facebook.com/smorescafeandrestaurant/,625634614523844,
"House: 1/13 ,Road-19,Block-B,Mirpur-10",,,,,,,,,,https://www.facebook.com/cafeimperialbd/,182816475692361,
"Cafe Login Banani, House 116 ,3rd floor, Road No. 11, Block - E , Banani - 1223",,,,,,,,,,https://www.facebook.com/cafelogibanani/,1867906129974147,
"Bailyroad, Uttara. Dhanmondi",,,,,,,,,,https://www.facebook.com/Coffeelicious.Cafe/,397333000437864,
"140,South Mugdapara,Beside Boro Masque",,,,,,,,,,https://www.facebook.com/Cafe.Domino.Resturent/,1016289958429656,
