"২০৫/১/এ, গুলশান"
"প্লট-৪২, রোড-১৩৫, গুলশান"
"বাড়ী-১, রোড-৯৫, গুলশান"
"১, রোড-৯৫, গুলশান"
"৫০৮, পশ্চিম"
"প্লট-১, রোড-৯৫, দোকান-১৩, গুলশান"
"বাড়ী-৫৪/বি, রোড-১৩৩, গুলশান"
"প্লট-৫০, হাবিব সুপার মার্কেট "
"প্লট-৪২, দো-১০,১১, রোড়-১৩৫, গুলশান-১ "
"৩০, জাহেদ প্লাজা, গুলশান "
"ইউনিকন প্লাজা, গুলশান উত্তর এভিঃ "
"প্লট-২, রোড-১৪৪, দো-৪০৪/৪০৫, গুলশান "
"প্লট-৩০, জাহিদ প্লাজা, দ-৩০, গুলশান-২"
"প্লট- সি ডাব্লিউ এস (এ), গুলশান "
"প্লট-৪০/২, ইউনিকন প্লাজা, গুলশান উত্তর এভিঃ "
"প্লট-৪০/২, ইউনিকন প্লাজা "
"প্লট-৪২, জব্বার টাওয়ার, রোড-১৩৫, গুলশান "
"প্লট-১৫, রোড-১০৩, দো-২/এ, গুলশান "
"প্লট-১, রোড-৯৫, দো-২৬, গুলশান "
"প্লট-৪০/২, ইউনিকন প্লাজা, দো-২২, গুশান-২"
"প্লট-১৫, রোড-১০৩, দো-ডি/২১, পিংক সিটি "
"প্লট-২, রোড-১৪৪, পুলিশ প্লাজা"
"প্লট-২, রোড-১৪৪, দো-৩৬৫, পুলিশ প্লাজা "
"প্লট-২, রোড-১৪৪, পুলিশ প্লাজা"
"প্লট-৪২, রোড-১৩৫, জব্বার টাওয়ার "
"প্লট-৪২, দো-১৩, জব্বার টাওয়ার, গুলশান "
"প্লট-২, রোড-১৪৪, দো-২৪৫, পুলিশ প্লাজা "
"প্লট- ১৬০, দো-১১, ভবন মার্কেট, গুলশান, ঢাকা "
"প্লট-২, রোড-১৪৪, দো-৪৫৯, পুলিশ প্লাজা "
"৩০, জাহেদ প্লাজা, গুলশান-২"
"গুলশান-১, রোড়-১২৬ এর সামনে "
"প্লট-২, রোড-১৪৫, দো-৪৪৮/৪৪৯, পুলিশ প্লাজা "
"প্লট-৪৩, দো- এফ, ৩৩, আলম মার্কেট (২য় তলা), গুলশান "
"২৮, ল্যান্ডভিউ মার্কেট(১৪ তলা), গুলশান "
